id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14775337,Private apartment in NE Alberta,81359795,Alex & Megan,,King,45.55573,-122.65396,Entire home/apt,98,2,165,12/5/2021,2.86,1,0,20,17-114918-000-00-HO
14780717,Pension Portlandia: Close to Convention Center,5670387,David And Debra,,Sullivan's Gulch,45.53338,-122.64086,Entire home/apt,96,2,188,11/27/2021,3.08,1,1,17,17-178370-000-00-HO
14784937,"Private floor, 2 bedrooms, close-in vintage modern",92302331,Scott & Cliff,,Hosford-Abernethy,45.51083,-122.65166,Private room,74,2,108,3/16/2020,1.68,1,0,0,17-134971-000-00-HO
14785325,Alberta Arts Tree House,17456214,Tom,,Concordia,45.56244,-122.63291,Entire home/apt,126,2,201,11/1/2021,3.14,1,228,25,16-233375-000-00-HO
14799359,The Sweet Retreat!,19711951,Peggy,,South Burlingame,45.4638,-122.68952,Entire home/apt,55,7,115,7/31/2020,1.8,2,233,0,City registration pending
14800903,Sunset-facing weekly room in grove of Doug Firs,29600460,Erling,,Hazelwood,45.5304,-122.54785,Private room,68,5,22,11/7/2021,0.65,2,179,10,19-137647-000-00-HO
14802668,Bright Room & Queen Bed in a Cute Neighborhood,18352745,Jennifer,,Richmond,45.50933,-122.62843,Private room,50,2,351,12/14/2021,5.45,2,17,39,City registration pending
14803761,Tiny House Off Hawthorne (Mt. Tabor) BLVD,90701654,Kevin And Pilar,,Richmond,45.51057,-122.61525,Entire home/apt,69,1,411,11/1/2020,6.37,2,0,0,City registration pending
14807366,Stylish Craftsman in Charming Alameda Neighborhood,2632563,Jason,,Rose City Park,45.54299,-122.6138,Entire home/apt,225,4,71,11/30/2021,1.15,1,168,13,City registration pending
14809195,NE Portland Craftsman Guest House,62043803,Jennifer,,King,45.55954,-122.66375,Entire home/apt,163,3,163,11/22/2021,2.53,1,76,17,16-222489-000-00-HO
14825563,Serene Forest Retreat W/Sauna - 15 min to downtown,52594581,Georgina,,Multnomah,45.46322,-122.72162,Entire home/apt,68,2,152,12/5/2021,2.89,1,342,48,17-177929-000-00-HO
14825708,SE Division Hideaway,1638505,Nancy,,Hosford-Abernethy,45.50097,-122.63882,Entire home/apt,78,2,261,12/5/2021,4.11,1,147,41,16-213179-000-00-HO
14842356,Cute place near Powell’s Books,3611030,Daniela,,Northwest District,45.52417,-122.69027,Entire home/apt,133,3,134,12/12/2021,2.09,1,92,38,City registration pending
14852770,"""Dahlia's Place""    Historic City Center TOP Floor",28688984,David,,Portland Downtown,45.50924,-122.6822,Entire home/apt,1037,2,112,3/15/2020,2.18,2,83,0,City registration pending
14859637,"Close in! Quiet, private, beautiful in NoPo",36587923,Jacob,,Piedmont,45.5809,-122.67545,Private room,37,5,111,8/24/2020,1.73,2,17,0,17-253017-000-00-HO
14881526,Ka؜kao Sleep,93307067,Eric,,Montavilla,45.53459,-122.58924,Shared room,30,1,142,6/28/2021,2.2,2,28,4,City registration pending
14885930,Modern Zen Haus - Mt Tabor,49343,Kyra Anastasia,,Mt. Tabor,45.50883,-122.60158,Entire home/apt,145,2,9,10/31/2021,0.14,1,322,2,21-027759-000-00-HO
14898309,"Cosy, close in SE Victorian private room & bath",93514048,Karen,,Creston-Kenilworth,45.49401,-122.63605,Private room,50,2,127,2/27/2020,2.05,1,165,0,16-224545-000-00-HO
